"SORT","TECTNO","TECTCODE","TECTNAME","TECTTYPE","LITHOLOGY","TECTSETTIN","TSETT_QUAL","PARENTCODE","PARENTNAME","PARENTTYPE","STATE","WATECTUNIT","SSUITE_TEC","SUITE_TEC","CRATON","SUPERTERRA","CRATON_TER","DOMAIN_","GREENSTONE","SUPERBASIN","BASIN","SUBBASIN","SUBBASIN_E","OROGEN","PROVINCE","PROV_TZONE","TECT_SUBDI","OROG_FOR","OROG_FORSU","IN_OUTLIER","EVENTS","ERA_FROM","ERA_TO","MAX_AGE_MA","MIN_AGE_MA","TECTCOLOUR","SYMBOL"
"29","13","CPO","Capricorn Orogen","Orogen","igneous and metamorphic rocks","orogen","collisional orogen","WAC","West Australian Craton","WA Unit","Western Australia","West Australian Craton","","","","","","","","","","","","Capricorn Orogen","","","","","","","Mulka Tectonic Event (570 - 570 Ma); Edmundian Orogeny (1026 - 954 Ma); Edmundian Orogeny D3e/M3e (995 - 954 Ma); Edmundian Orogeny D2e/M2e (1026 - 995 Ma); Edmundian Orogeny D1e/M1e (1026 - 995 Ma); Mutherbukin Tectonic Event (1321 - 1171 Ma); Mangaroon Orogeny (1682 - 1619 Ma); Mangaroon Orogeny D2m/M2m (1677 - 1659 Ma); Mangaroon Orogeny D1m/M1m (1682 - 1677 Ma); Ashburton Fold Belt D3a (1784 - 1772 Ma); Capricorn Orogeny (1817 - 1772 Ma); Capricorn Orogeny D3n/M3n (1786 - 1772 Ma); Ashburton Fold Belt D2a/M2a (1786 - 1784 Ma); Ashburton Fold Belt D1a/M1a (1794 - 1784 Ma); Capricorn Orogeny D2n/M2n (1808 - 1786 Ma); Capricorn Orogeny D1n/M1n (1813 - 1800 Ma); Glenburgh Orogeny (2002 - 1947 Ma); Glenburgh Orogeny D2 (1966 - 1947 Ma); Glenburgh Orogeny D1 (2002 - 1987 Ma); Ophthalmia Orogeny (2215 - 2145 Ma)","Archean","Proterozoic","2555","541","P_M-im","MESOPROTEROZOIC; igneous and metamorphic rocks"
"27","289","CPODO","Gascoyne Province, Coobarra Inlier","Inlier/Outlier","igneous, sedimentary, and metamorphic rocks","orogen","intracratonic orogen","GA","Gascoyne Province","Province","Western Australia","West Australian Craton","","","","","","","","","","","","Capricorn Orogen","Gascoyne Province","","","","","Gascoyne Province, Coobarra Inlier","Edmundian Orogeny (1026 - 954 Ma); Mutherbukin Tectonic Event (1321 - 1171 Ma); Capricorn Orogeny (1817 - 1772 Ma)","Neoarchean","Paleoproterozoic","2555","1620","P_P-ism","PALEOPROTEROZOIC; igneous, sedimentary, and metamorphic rocks"
"23","301","CPOT","Thirty Three Supersuite","Supersuite","granitic rocks","igneous","intraplate granites","CPO","Capricorn Orogen","Orogen","Western Australia","West Australian Craton","Thirty Three Supersuite","","","","","","","","","","","Capricorn Orogen","","","","","","","Edmundian Orogeny (1026 - 954 Ma)","Neoproterozoic","Neoproterozoic","995","939","P_N-g","NEOPROTEROZOIC; granitic rocks"
"4","106","CVB","Byro Sub-basin","Sub-basin","sedimentary rocks","basin","continental platform","CV","Southern Carnarvon Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Southern Carnarvon Basin","Byro Sub-basin","","","","","","","","","Gondwana breakup - western margin (210 - 125 Ma); Mid-Carboniferous compression, Southern Carnarvon Basin (323.2 - 307 Ma)","Paleozoic","Paleozoic","485","252","PZ-s","PALEOZOIC; sedimentary rocks"
"5","87","CVG","Gascoyne Platform","Sub-basin","sedimentary and volcanic rocks","basin","continental platform","CV","Southern Carnarvon Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Southern Carnarvon Basin","Gascoyne Platform","","","","","","","","","Gondwana breakup - southern NW Shelf (220 - 138 Ma); Gondwana breakup - western margin (210 - 125 Ma); Mid-Carboniferous compression, Southern Carnarvon Basin (323.2 - 307 Ma)","Paleozoic","Cenozoic","500","0","PZ-sv","PALEOZOIC; sedimentary and volcanic rocks"
"4","144","CVM","Merlinleigh Sub-basin","Sub-basin","sedimentary rocks","basin","continental platform","CV","Southern Carnarvon Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Southern Carnarvon Basin","Merlinleigh Sub-basin","","","","","","","","","Timorese Collision (20 - 0.01 Ma); Gondwana breakup - southern NW Shelf (220 - 138 Ma); Gondwana breakup - western margin (210 - 125 Ma); Mid-Carboniferous compression, Southern Carnarvon Basin (323.2 - 307 Ma)","Paleozoic","Cenozoic","485","0","PZ-s","PALEOZOIC; sedimentary rocks"
"5","145","CVN","Bernier Ridge","Sub-basin","sedimentary and volcanic rocks","basin","continental margin","CV","Southern Carnarvon Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Southern Carnarvon Basin","Bernier Ridge","","","","","","","","","Gondwana breakup - southern NW Shelf (220 - 138 Ma); Gondwana breakup - western margin (210 - 125 Ma)","Paleozoic","Cenozoic","485","0","PZ-sv","PALEOZOIC; sedimentary and volcanic rocks"
"22","406","CW","Crowhurst Basin","Basin","sedimentary rocks","basin","undivided","NAC","North Australian Craton","WA Unit","Western Australia","North Australian Craton","","","","","","","","","Crowhurst Basin","","","","","","","","","","Alice Springs Orogeny (450 - 295 Ma); Wunaamin Miliwundi Orogeny (670 - 510 Ma); Yampi Orogeny (1000 - 800 Ma)","Paleoproterozoic","Paleoproterozoic","1834","1600","P_P-s","PALEOPROTEROZOIC; sedimentary rocks"
"6","300","DV","Davis Dolerite","Suite","mafic/ultramafic intrusive/extrusive rocks","igneous","mafic dyke swarm","LIP","Large igneous provinces and dyke swarms","WA Unit","Western Australia","Large igneous provinces and dyke swarms","","Davis Dolerite","","","","","","","","","","","","","","","","","Davis Dolerite Magmatic Event (1084 - 510 Ma)","Mesoproterozoic","Paleozoic","1084","510","E-LIP","Cambrian; mafic/ultramafic intrusive/extrusive rocks"
"22","85","EA","Earaheedy Basin","Basin","sedimentary rocks","basin","continental margin","CPO","Capricorn Orogen","Orogen","Western Australia","West Australian Craton","","","","","","","","","Earaheedy Basin","","","Capricorn Orogen","","","","","","","Edmundian Orogeny (1026 - 954 Ma); Mangaroon Orogeny (1682 - 1619 Ma); Mangaroon Orogeny D2m/M2m (1677 - 1659 Ma); Mangaroon Orogeny D1m/M1m (1682 - 1677 Ma); Stanley Fold Belt deformation (2005 - 1620 Ma)","Paleoproterozoic","Paleoproterozoic","1950","1648","P_P-s","PALEOPROTEROZOIC; sedimentary rocks"
"43","307","EH","Elizabeth Hill Supersuite","Supersuite","granitic rocks","igneous","undivided","P","Pilbara Craton","Craton","Western Australia","West Australian Craton","Elizabeth Hill Supersuite","","Pilbara Craton","","","","","","","","","","","","","","","","North Pilbara Orogeny (2955 - 2919 Ma); Prinsep Orogeny (3068 - 3066 Ma)","Mesoarchean","Mesoarchean","3068","3066","AM-g","MESOARCHEAN; granitic rocks"
