model_timestamp,boreid,obsval,obsnme,obgnme,weight
13562,70118006,217.0820935058594,70118006_13562,head,1.0
13774,70118006,217.2412601725261,70118006_13774,head,1.0
13926,70118006,217.2655935058594,70118006_13926,head,1.0
14167,70118006,217.7225935058594,70118006_14167,head,1.0
14258,70118006,217.7225935058594,70118006_14258,head,1.0
14410,70118006,217.8440935058594,70118006_14410,head,1.0
14713,70118006,218.1035935058594,70118006_14713,head,1.0
15227,70118006,218.4845935058594,70118006_15227,head,1.0
15409,70118006,218.4845935058594,70118006_15409,head,1.0
15620,70118006,218.8505935058594,70118006_15620,head,1.0
15742,70118006,219.0025935058594,70118006_15742,head,1.0
15983,70118006,219.2465935058594,70118006_15983,head,1.0
16105,70118006,219.1525935058594,70118006_16105,head,1.0
16346,70118006,219.8645935058594,70118006_16346,head,1.0
19252,70118006,226.8645935058594,70118006_19252,head,1.0
19979,70118006,222.9645935058594,70118006_19979,head,1.0
20768,70118006,223.0645935058594,70118006_20768,head,1.0
21919,70118006,223.2645935058594,70118006_21919,head,1.0
22160,70118006,223.4645935058594,70118006_22160,head,1.0
22312,70118006,223.4645935058594,70118006_22312,head,1.0
22555,70118006,223.7145935058594,70118006_22555,head,1.0
22826,70118006,223.6645935058594,70118006_22826,head,1.0
23039,70118006,223.4645935058594,70118006_23039,head,1.0
23220,70118006,223.6645935058594,70118006_23220,head,1.0
23644,70118006,221.2645935058594,70118006_23644,head,1.0
23947,70118006,221.5895935058594,70118006_23947,head,1.0
24401,70118006,221.3645935058594,70118006_24401,head,1.0
24703,70118006,220.9645935058594,70118006_24703,head,1.0
25097,70118006,221.2645935058594,70118006_25097,head,1.0
25976,70118006,221.5645935058594,70118006_25976,head,1.0
26217,70118006,221.6645935058594,70118006_26217,head,1.0
26550,70118006,222.0645935058594,70118006_26550,head,1.0
26914,70118006,221.8645935058594,70118006_26914,head,1.0
27246,70118006,221.1645935058594,70118006_27246,head,1.0
5571,70118009,214.3321029052734,70118009_5571,head,1.0
6266,70118009,213.5411029052734,70118009_6266,head,1.0
6509,70118009,213.6711029052734,70118009_6509,head,1.0
6691,70118009,213.8911029052734,70118009_6691,head,1.0
6993,70118009,213.9961029052734,70118009_6993,head,1.0
7265,70118009,214.0477695719401,70118009_7265,head,1.0
7417,70118009,214.2711029052734,70118009_7417,head,1.0
7567,70118009,214.2511029052734,70118009_7567,head,1.0
7750,70118009,214.3061029052734,70118009_7750,head,1.0
8023,70118009,214.3811029052734,70118009_8023,head,1.0
8114,70118009,214.3911029052734,70118009_8114,head,1.0
8355,70118009,214.49776957194,70118009_8355,head,1.0
8507,70118009,214.6211029052734,70118009_8507,head,1.0
8657,70118009,214.7411029052734,70118009_8657,head,1.0
8840,70118009,214.7861029052734,70118009_8840,head,1.0
9020,70118009,214.9261029052734,70118009_9020,head,1.0
9264,70118009,215.1044362386067,70118009_9264,head,1.0
9537,70118009,215.2711029052734,70118009_9537,head,1.0
9628,70118009,215.3441029052734,70118009_9628,head,1.0
9839,70118009,215.3721029052734,70118009_9839,head,1.0
9930,70118009,215.4421029052734,70118009_9930,head,1.0
10323,70118009,215.6011029052734,70118009_10323,head,1.0
10565,70118009,215.6811029052734,70118009_10565,head,1.0
10656,70118009,215.7311029052734,70118009_10656,head,1.0
10898,70118009,215.8411029052734,70118009_10898,head,1.0
11020,70118009,215.8911029052734,70118009_11020,head,1.0
11261,70118009,215.9911029052734,70118009_11261,head,1.0
11383,70118009,216.0961029052734,70118009_11383,head,1.0
11655,70118009,216.1311029052734,70118009_11655,head,1.0
11776,70118009,216.2611029052734,70118009_11776,head,1.0
12018,70118009,216.3011029052734,70118009_12018,head,1.0
12139,70118009,216.3961029052734,70118009_12139,head,1.0
12290,70118009,216.6211029052734,70118009_12290,head,1.0
12442,70118009,216.7211029052734,70118009_12442,head,1.0
12775,70118009,216.9111029052734,70118009_12775,head,1.0
13199,70118009,217.2111029052734,70118009_13199,head,1.0
13471,70118009,217.2111029052734,70118009_13471,head,1.0
13562,70118009,217.6711029052734,70118009_13562,head,1.0
13774,70118009,217.8011029052734,70118009_13774,head,1.0
14167,70118009,218.0611029052734,70118009_14167,head,1.0
14410,70118009,218.2511029052734,70118009_14410,head,1.0
14713,70118009,218.3861029052734,70118009_14713,head,1.0
15227,70118009,218.6911029052734,70118009_15227,head,1.0
15409,70118009,218.8761029052734,70118009_15409,head,1.0
15620,70118009,218.9711029052734,70118009_15620,head,1.0
15742,70118009,219.1211029052734,70118009_15742,head,1.0
16105,70118009,219.3111029052734,70118009_16105,head,1.0
19252,70118009,222.2911029052734,70118009_19252,head,1.0
19616,70118009,222.3911029052734,70118009_19616,head,1.0
19979,70118009,222.6711029052734,70118009_19979,head,1.0
20768,70118009,222.8611029052734,70118009_20768,head,1.0
21919,70118009,223.0211029052734,70118009_21919,head,1.0
22160,70118009,223.0211029052734,70118009_22160,head,1.0
22312,70118009,223.0211029052734,70118009_22312,head,1.0
22555,70118009,223.0211029052734,70118009_22555,head,1.0
22826,70118009,223.0211029052734,70118009_22826,head,1.0
23039,70118009,223.0211029052734,70118009_23039,head,1.0
23402,70118009,223.0211029052734,70118009_23402,head,1.0
23644,70118009,223.0211029052734,70118009_23644,head,1.0
25097,70118009,223.0211029052734,70118009_25097,head,1.0
25976,70118009,223.0211029052734,70118009_25976,head,1.0
5571,70118010,213.1828590820312,70118010_5571,head,1.0
6266,70118010,212.3180590820312,70118010_6266,head,1.0
6509,70118010,212.4530590820312,70118010_6509,head,1.0
6691,70118010,212.5230590820312,70118010_6691,head,1.0
6993,70118010,212.7830590820312,70118010_6993,head,1.0
7265,70118010,212.8430590820312,70118010_7265,head,1.0
7417,70118010,212.9680590820312,70118010_7417,head,1.0
7567,70118010,213.0330590820312,70118010_7567,head,1.0
7750,70118010,213.0680590820312,70118010_7750,head,1.0
8023,70118010,213.2030590820312,70118010_8023,head,1.0
8114,70118010,213.0330590820312,70118010_8114,head,1.0
8355,70118010,213.4097257486979,70118010_8355,head,1.0
8507,70118010,213.4830590820312,70118010_8507,head,1.0
8657,70118010,213.5380590820312,70118010_8657,head,1.0
8840,70118010,213.6430590820312,70118010_8840,head,1.0
9020,70118010,213.7930590820312,70118010_9020,head,1.0
9264,70118010,214.0497257486979,70118010_9264,head,1.0
9537,70118010,214.2263924153645,70118010_9537,head,1.0
9628,70118010,214.3320590820312,70118010_9628,head,1.0
9839,70118010,214.4135590820312,70118010_9839,head,1.0
9930,70118010,214.4550590820312,70118010_9930,head,1.0
10323,70118010,214.6030590820312,70118010_10323,head,1.0
10565,70118010,214.7180590820312,70118010_10565,head,1.0
10656,70118010,214.7730590820312,70118010_10656,head,1.0
10898,70118010,214.7830590820312,70118010_10898,head,1.0
11020,70118010,214.8130590820312,70118010_11020,head,1.0
11261,70118010,214.8930590820312,70118010_11261,head,1.0
11383,70118010,215.0230590820312,70118010_11383,head,1.0
11655,70118010,215.1480590820312,70118010_11655,head,1.0
11776,70118010,215.2130590820312,70118010_11776,head,1.0
12018,70118010,215.3330590820312,70118010_12018,head,1.0
12139,70118010,215.4430590820312,70118010_12139,head,1.0
12290,70118010,215.5230590820312,70118010_12290,head,1.0
12442,70118010,215.6430590820312,70118010_12442,head,1.0
12775,70118010,215.9730590820312,70118010_12775,head,1.0
13199,70118010,216.2830590820312,70118010_13199,head,1.0
13471,70118010,216.2880590820312,70118010_13471,head,1.0
13562,70118010,216.6030590820312,70118010_13562,head,1.0
13774,70118010,216.7830590820312,70118010_13774,head,1.0
13926,70118010,216.9730590820312,70118010_13926,head,1.0
14167,70118010,217.0730590820312,70118010_14167,head,1.0
14410,70118010,217.3530590820312,70118010_14410,head,1.0
14713,70118010,217.5780590820312,70118010_14713,head,1.0
15227,70118010,218.0530590820312,70118010_15227,head,1.0
15742,70118010,218.5230590820312,70118010_15742,head,1.0
16105,70118010,218.7130590820312,70118010_16105,head,1.0
16346,70118010,218.9080590820312,70118010_16346,head,1.0
19252,70118010,220.8930590820312,70118010_19252,head,1.0
