SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
61712844,61712844,Groundwater,Bore or Well,AWRC,Carnamah - 2528,2528,20033521 [WIN_ID]; 2038-3-SE-0010 [AQWAB]; 61712844 [SITE_REF],,50,368255.03,6693765.46,-29.879680090,115.635734898,GDA2020
61712845,61712845,Groundwater,Bore or Well,AWRC,Eganu - 2548,2548,20033522 [WIN_ID]; 2038-3-SE-0011 [AQWAB]; 61712845 [SITE_REF],,50,373493.02,6687104.47,-29.940327562,115.689177219,GDA2020
61712846,61712846,Groundwater,Bore or Well,AWRC,Carnamah - 2552,2552,20033523 [WIN_ID]; 2038-3-SE-0012 [AQWAB]; 61712846 [SITE_REF],,50,378811.02,6692600.46,-29.891276111,115.744891367,GDA2020
61712850,61712850,Groundwater,Bore or Well,AWRC,Eganu - Bore,Bore,20033527 [WIN_ID]; 2038-3-SW-0001 [AQWAB]; 61712850 [SITE_REF],,50,367043.03,6689968.47,-29.913806759,115.622716154,GDA2020
61712851,61712851,Groundwater,Bore or Well,AWRC,Eneabba - Bore,Bore,20033528 [WIN_ID]; 2038-3-SW-0002 [AQWAB]; 61712851 [SITE_REF],,50,360007.03,6691420.48,-29.899925680,115.550039916,GDA2020
61712854,61712854,Groundwater,Bore or Well,AWRC,Eganu - 2518,2518,20033531 [WIN_ID]; 2038-3-SW-0005 [AQWAB]; 61712854 [SITE_REF],,50,359346.03,6685002.48,-29.957751997,115.542351833,GDA2020
61712855,61712855,Groundwater,Bore or Well,AWRC,Eganu - 2519,2519,20033532 [WIN_ID]; 2038-3-SW-0006 [AQWAB]; 61712855 [SITE_REF],,50,359161.03,6685988.48,-29.948835347,115.540565064,GDA2020
61712856,61712856,Groundwater,Bore or Well,AWRC,Warradarge - 2520,2520,20033533 [WIN_ID]; 2038-3-SW-0007 [AQWAB]; 61712856 [SITE_REF],,50,357795.03,6684337.49,-29.963572605,115.526194181,GDA2020
61712858,61712858,Groundwater,Bore or Well,AWRC,Eganu - Bore,Bore,20033535 [WIN_ID]; 2038-3-SW-0009 [AQWAB]; 61712858 [SITE_REF],,50,364862.03,6689622.47,-29.916690476,115.600085363,GDA2020
61712859,61712859,Groundwater,Bore or Well,AWRC,Warradarge - Bore,Bore,20033536 [WIN_ID]; 2038-3-SW-0010 [AQWAB]; 61712859 [SITE_REF],,50,358184.03,6686840.48,-29.941036349,115.530556747,GDA2020
61712866,61712866,Groundwater,Bore or Well,AWRC,Kadathinni - Bore,Bore,20033622 [WIN_ID]; 2038-4-NW-0007 [AQWAB]; 61712866 [SITE_REF],,50,363811.03,6722277.47,-29.621954904,115.593323992,GDA2020
61712867,61712867,Groundwater,Bore or Well,AWRC,Kadathinni - No 2 (Field No 845).,No 2 (Field No 845).,20033636 [WIN_ID]; 2038-4-NW-0021 [AQWAB]; 61712867 [SITE_REF],,50,363998.03,6722911.47,-29.616255132,115.595334338,GDA2020
61712868,61712868,Groundwater,Bore or Well,AWRC,Kadathinni - 867,867,20033637 [WIN_ID]; 2038-4-NW-0022 [AQWAB]; 61712868 [SITE_REF],,50,359343.05,6724602.48,-29.600480849,115.547487851,GDA2020
61712869,61712869,Groundwater,Bore or Well,AWRC,Kadathinni - 846,846,20033639 [WIN_ID]; 2038-4-NW-0024 [AQWAB]; 61712869 [SITE_REF],,50,362418.03,6723106.47,-29.614322034,115.579044535,GDA2020
61712870,61712870,Groundwater,Bore or Well,AWRC,Carnamah - Bore,Bore,20033640 [WIN_ID]; 2038-4-SE-0001 [AQWAB]; 61712870 [SITE_REF],,50,371928.01,6708968.46,-29.742899534,115.675570382,GDA2020
61712877,61712877,Groundwater,Bore or Well,AWRC,Kadathinni - Bore,Bore,20033667 [WIN_ID]; 2038-4-SW-0002 [AQWAB]; 61712877 [SITE_REF],,50,365935.01,6710898.45,-29.724851812,115.613849324,GDA2020
61712878,61712878,Groundwater,Bore or Well,AWRC,Kadathinni - 843,843,20033668 [WIN_ID]; 2038-4-SW-0003 [AQWAB]; 61712878 [SITE_REF],,50,358488.03,6713735.46,-29.698427727,115.537243566,GDA2020
61712879,61712879,Groundwater,Bore or Well,AWRC,Kadathinni - 842,842,20033669 [WIN_ID]; 2038-4-SW-0004 [AQWAB]; 61712879 [SITE_REF],,50,357007.04,6714226.46,-29.693827958,115.522004169,GDA2020
61712880,61712880,Groundwater,Bore or Well,AWRC,Kadathinni - Loc 10901,Loc 10901,20033670 [WIN_ID]; 2038-4-SW-0005 [AQWAB]; 61712880 [SITE_REF],,50,365706.01,6713067.45,-29.705257556,115.611751472,GDA2020
61712881,61712881,Groundwater,Bore or Well,AWRC,Kadathinni - Loc 10898,Loc 10898,20033671 [WIN_ID]; 2038-4-SW-0006 [AQWAB]; 61712881 [SITE_REF],,50,365938.01,6718394.46,-29.657220300,115.614808403,GDA2020
61712882,61712882,Groundwater,Bore or Well,AWRC,Kadathinni - Loc 10909,Loc 10909,20033672 [WIN_ID]; 2038-4-SW-0007 [AQWAB]; 61712882 [SITE_REF],,50,356729.04,6716554.46,-29.672792583,115.519439452,GDA2020
61712883,61712883,Groundwater,Bore or Well,AWRC,Kadathinni - Bore,Bore,20033673 [WIN_ID]; 2038-4-SW-0008 [AQWAB]; 61712883 [SITE_REF],,50,362711.02,6709495.46,-29.737156716,115.580345349,GDA2020
