Gamma,Depth,Gamma_real,Depth_real
83.75084304,172.5267009,67.26886593,99.22310775
82.23915151,174.0383924,65.98256602,100.1016965
78.71187129,174.290341,62.98119956,100.248128
74.68069389,174.7942382,59.55106646,100.5409909
69.38977355,174.5422896,55.04901677,100.3945595
68.13003062,176.3059297,53.97710017,101.4195797
60.06767582,178.573467,47.11683398,102.7374629
69.89367073,179.5812614,55.47778341,103.3231887
83.49889445,180.5890557,67.05448261,103.9089146
96.09632382,181.0929529,77.77364854,104.2017775
112.7249306,181.5968501,91.92294757,104.4946404
121.2911826,182.6046444,99.2119804,105.0803663
124.062617,184.8721817,101.5701969,106.3982494
120.0314396,185.1241303,98.14006381,106.5446809
114.2366221,185.6280275,93.20924748,106.8375438
99.11970687,185.8799761,80.34624837,106.9839753
104.1586786,185.8799761,84.63391474,106.9839753
108.9457018,186.8877704,88.70719779,107.5697011
108.9457018,188.9033591,88.70719779,108.7411529
101.6391927,189.4072563,82.49008155,109.0340158
93.07294077,189.9111534,75.20104872,109.3268787
82.4911001,190.6669992,66.19694934,109.7661731
87.53007185,190.6669992,70.48461571,109.7661731
87.02617467,192.9345365,70.05584907,111.0840563
96.600221,193.4384337,78.20241518,111.3769192
106.6781645,193.9423308,86.77774792,111.6697821
114.7405193,195.4540224,93.63801412,112.5483709
107.6859588,195.9579195,87.6352812,112.8412338
96.34827241,196.9657139,77.98803186,113.4269597
87.27812326,197.7215597,70.27023239,113.8662541
76.69628259,196.9657139,61.26613301,113.4269597
70.3975679,198.2254568,55.90655004,114.159117
69.64172214,200.2410455,55.26340009,115.3305687
66.3663905,201.2488399,52.47641694,115.9162945
69.89367073,203.2644286,55.47778341,117.0877463
75.18459106,204.0202743,59.9798331,117.5270406
79.97161422,205.5319659,64.05311615,118.4056294
79.21576846,207.7995032,63.40996619,119.7235126
73.92484813,208.5553489,58.9079165,120.162807
65.10664757,207.7995032,51.40450035,119.7235126
57.80013853,208.5553489,45.18738411,120.162807
54.52480689,208.5553489,42.40040097,120.162807
54.52480689,210.318989,42.40040097,121.1878272
51.50142384,210.0670404,39.82780115,121.0413958
55.78454983,212.0826291,43.47231756,122.2128475
50.24168091,212.5865263,38.75588455,122.5057104
47.72219503,213.5943207,36.61205137,123.0914362
33.61307414,213.8462693,24.60658552,123.2378677
31.09358826,216.3657551,22.46275234,124.7021823
35.62866283,217.3735495,26.32165207,125.2879082
