Year,Month,Total Rainfall (mm),Date,Month Type,Year Type,Class
1933,6,163.90,1/06/1933,Wet,Dry,1933_Wet
1933,7,51.90,1/07/1933,Wet,Dry,1933_Wet
1933,8,76.85,1/08/1933,Wet,Dry,1933_Wet
1933,9,19.15,1/09/1933,Dry,Dry,1933_Dry
1933,10,27.55,1/10/1933,Dry,Dry,1933_Dry
1933,11,15.10,1/11/1933,Dry,Dry,1933_Dry
1933,12,9.15,1/12/1933,Dry,Dry,1933_Dry
1934,1,29.50,1/01/1934,Dry,Dry,1933_Dry
1934,2,1.95,1/02/1934,Dry,Dry,1933_Dry
1934,3,129.75,1/03/1934,Wet,Dry,1934_Wet
1934,4,123.75,1/04/1934,Wet,Dry,1934_Wet
1934,5,11.70,1/05/1934,Dry,Dry,1934_Wet
1934,6,71.00,1/06/1934,Wet,Dry,1934_Wet
1934,7,65.60,1/07/1934,Wet,Dry,1934_Wet
1934,8,62.45,1/08/1934,Wet,Dry,1934_Wet
1934,9,20.00,1/09/1934,Dry,Dry,1934_Dry
1934,10,4.90,1/10/1934,Dry,Dry,1934_Dry
1934,11,7.40,1/11/1934,Dry,Dry,1934_Dry
1934,12,5.10,1/12/1934,Dry,Dry,1934_Dry
1935,1,24.45,1/01/1935,Dry,Dry,1934_Dry
1935,2,11.40,1/02/1935,Dry,Dry,1934_Dry
1935,3,31.60,1/03/1935,Dry,Dry,1934_Dry
1935,4,46.05,1/04/1935,Wet,Dry,1934_Dry
1935,5,9.15,1/05/1935,Dry,Dry,1935_Dry
1935,6,31.10,1/06/1935,Dry,Dry,1935_Dry
1935,7,106.95,1/07/1935,Wet,Dry,1935_Wet
1935,8,77.40,1/08/1935,Wet,Dry,1935_Wet
1935,9,18.65,1/09/1935,Dry,Dry,1935_Dry
1935,10,6.55,1/10/1935,Dry,Dry,1935_Dry
1935,11,1.05,1/11/1935,Dry,Dry,1935_Dry
1935,12,2.40,1/12/1935,Dry,Dry,1935_Dry
1936,1,0.55,1/01/1936,Dry,Dry,1935_Dry
1936,2,7.35,1/02/1936,Dry,Dry,1935_Dry
1936,3,6.25,1/03/1936,Dry,Dry,1935_Dry
1936,4,16.30,1/04/1936,Dry,Dry,1935_Dry
1936,5,29.80,1/05/1936,Dry,Dry,1935_Dry
1936,6,67.30,1/06/1936,Wet,Dry,1936_Wet
1936,7,38.40,1/07/1936,Dry,Dry,1936_Wet
1936,8,55.70,1/08/1936,Wet,Dry,1936_Wet
1936,9,22.85,1/09/1936,Dry,Dry,1936_Dry
1936,10,11.45,1/10/1936,Dry,Dry,1936_Dry
1936,11,19.10,1/11/1936,Dry,Dry,1936_Dry
1936,12,9.15,1/12/1936,Dry,Dry,1936_Dry
1937,1,3.40,1/01/1937,Dry,Dry,1936_Dry
1937,2,1.15,1/02/1937,Dry,Dry,1936_Dry
1937,3,0.65,1/03/1937,Dry,Dry,1936_Dry
1937,4,36.15,1/04/1937,Dry,Dry,1936_Dry
1937,5,78.40,1/05/1937,Wet,Dry,1937_Wet
1937,6,72.80,1/06/1937,Wet,Dry,1937_Wet
1937,7,13.65,1/07/1937,Dry,Dry,1937_Wet
1937,8,57.55,1/08/1937,Wet,Dry,1937_Wet
1937,9,27.25,1/09/1937,Dry,Dry,1937_Dry
1937,10,3.05,1/10/1937,Dry,Dry,1937_Dry
1937,11,4.45,1/11/1937,Dry,Dry,1937_Dry
1937,12,0.90,1/12/1937,Dry,Dry,1937_Dry
1938,1,2.55,1/01/1938,Dry,Dry,1937_Dry
1938,2,3.85,1/02/1938,Dry,Dry,1937_Dry
1938,3,20.75,1/03/1938,Dry,Dry,1937_Dry
1938,4,38.85,1/04/1938,Dry,Dry,1937_Dry
1938,5,14.95,1/05/1938,Dry,Dry,1938_Dry
1938,6,22.60,1/06/1938,Dry,Dry,1938_Dry
1938,7,92.65,1/07/1938,Wet,Dry,1938_Wet
1938,8,42.50,1/08/1938,Wet,Dry,1938_Wet
1938,9,15.70,1/09/1938,Dry,Dry,1938_Dry
1938,10,5.15,1/10/1938,Dry,Dry,1938_Dry
1938,11,10.40,1/11/1938,Dry,Dry,1938_Dry
1938,12,0.00,1/12/1938,Dry,Dry,1938_Dry
1939,1,23.35,1/01/1939,Dry,Dry,1938_Dry
1939,2,59.90,1/02/1939,Wet,Dry,1938_Dry
1939,3,5.60,1/03/1939,Dry,Dry,1938_Dry
1939,4,1.65,1/04/1939,Dry,Dry,1938_Dry
1939,5,61.20,1/05/1939,Wet,Dry,1939_Wet
1939,6,130.00,1/06/1939,Wet,Dry,1939_Wet
1939,7,101.60,1/07/1939,Wet,Dry,1939_Wet
1939,8,65.70,1/08/1939,Wet,Dry,1939_Wet
1939,9,4.30,1/09/1939,Dry,Dry,1939_Dry
1939,10,25.95,1/10/1939,Dry,Dry,1939_Dry
1939,11,7.00,1/11/1939,Dry,Dry,1939_Dry
1939,12,0.75,1/12/1939,Dry,Dry,1939_Dry
1940,1,1.85,1/01/1940,Dry,Dry,1939_Dry
1940,2,0.00,1/02/1940,Dry,Dry,1939_Dry
1940,3,0.25,1/03/1940,Dry,Dry,1939_Dry
1940,4,1.90,1/04/1940,Dry,Dry,1939_Dry
1940,5,46.15,1/05/1940,Wet,Dry,1940_Wet
1940,6,77.70,1/06/1940,Wet,Dry,1940_Wet
1940,7,91.70,1/07/1940,Wet,Dry,1940_Wet
1940,8,15.65,1/08/1940,Dry,Dry,1940_Dry
1940,9,20.50,1/09/1940,Dry,Dry,1940_Dry
1940,10,26.35,1/10/1940,Dry,Dry,1940_Dry
1940,11,3.05,1/11/1940,Dry,Dry,1940_Dry
1940,12,6.75,1/12/1940,Dry,Dry,1940_Dry
1941,1,0.00,1/01/1941,Dry,Dry,1940_Dry
1941,2,16.40,1/02/1941,Dry,Dry,1940_Dry
1941,3,0.40,1/03/1941,Dry,Dry,1940_Dry
1941,4,70.85,1/04/1941,Wet,Dry,1940_Dry
1941,5,47.85,1/05/1941,Wet,Dry,1941_Wet
1941,6,90.75,1/06/1941,Wet,Dry,1941_Wet
1941,7,63.15,1/07/1941,Wet,Dry,1941_Wet
