Year,Month,Total Rainfall (mm),Date,Month Type,Year Type,Class
1932,7,92.35,1932-07-01,Wet,Dry,1932_Wet
1932,8,149.35,1932-08-01,Wet,Dry,1932_Wet
1932,9,22.099999999999998,1932-09-01,Dry,Dry,
1932,10,45.85,1932-10-01,Wet,Dry,1932_Wet
1932,11,0.75,1932-11-01,Dry,Dry,1932_Dry
1932,12,4.85,1932-12-01,Dry,Dry,1932_Dry
1933,1,1.4,1933-01-01,Dry,Dry,1932_Dry
1933,2,0.55,1933-02-01,Dry,Dry,1932_Dry
1933,3,23.35,1933-03-01,Dry,Dry,1932_Dry
1933,4,4.25,1933-04-01,Dry,Dry,
1933,5,72.55,1933-05-01,Wet,Dry,1933_Wet
1933,6,163.9,1933-06-01,Wet,Dry,1933_Wet
1933,7,51.9,1933-07-01,Wet,Dry,1933_Wet
1933,8,76.85,1933-08-01,Wet,Dry,1933_Wet
1933,9,19.15,1933-09-01,Dry,Dry,1933_Dry
1933,10,27.549999999999997,1933-10-01,Dry,Dry,1933_Dry
1933,11,15.1,1933-11-01,Dry,Dry,1933_Dry
1933,12,9.149999999999999,1933-12-01,Dry,Dry,1933_Dry
1934,1,29.5,1934-01-01,Dry,Dry,1933_Dry
1934,2,1.95,1934-02-01,Dry,Dry,
1934,3,129.75,1934-03-01,Wet,Dry,
1934,4,123.75,1934-04-01,Wet,Dry,
1934,5,11.7,1934-05-01,Dry,Dry,
1934,6,71.0,1934-06-01,Wet,Dry,1934_Wet
1934,7,65.6,1934-07-01,Wet,Dry,1934_Wet
1934,8,62.45,1934-08-01,Wet,Dry,1934_Wet
1934,9,20.0,1934-09-01,Dry,Dry,1934_Dry
1934,10,4.9,1934-10-01,Dry,Dry,1934_Dry
1934,11,7.4,1934-11-01,Dry,Dry,1934_Dry
1934,12,5.1,1934-12-01,Dry,Dry,1934_Dry
1935,1,24.45,1935-01-01,Dry,Dry,1934_Dry
1935,2,11.4,1935-02-01,Dry,Dry,1934_Dry
1935,3,31.599999999999998,1935-03-01,Dry,Dry,1934_Dry
1935,4,46.05,1935-04-01,Wet,Dry,1934_Dry
1935,5,9.15,1935-05-01,Dry,Dry,1935_Dry
1935,6,31.1,1935-06-01,Dry,Dry,1935_Dry
1935,7,106.95,1935-07-01,Wet,Dry,1935_Wet
1935,8,77.4,1935-08-01,Wet,Dry,1935_Wet
1935,9,18.65,1935-09-01,Dry,Dry,1935_Dry
1935,10,6.55,1935-10-01,Dry,Dry,1935_Dry
1935,11,1.05,1935-11-01,Dry,Dry,1935_Dry
1935,12,2.4,1935-12-01,Dry,Dry,1935_Dry
1936,1,0.55,1936-01-01,Dry,Dry,1935_Dry
1936,2,7.35,1936-02-01,Dry,Dry,
1936,3,6.25,1936-03-01,Dry,Dry,
1936,4,16.3,1936-04-01,Dry,Dry,
1936,5,29.8,1936-05-01,Dry,Dry,
1936,6,67.3,1936-06-01,Wet,Dry,1936_Wet
1936,7,38.4,1936-07-01,Dry,Dry,
1936,8,55.699999999999996,1936-08-01,Wet,Dry,1936_Wet
1936,9,22.85,1936-09-01,Dry,Dry,1936_Dry
1936,10,11.450000000000001,1936-10-01,Dry,Dry,1936_Dry
1936,11,19.1,1936-11-01,Dry,Dry,1936_Dry
1936,12,9.15,1936-12-01,Dry,Dry,1936_Dry
1937,1,3.4,1937-01-01,Dry,Dry,1936_Dry
1937,2,1.15,1937-02-01,Dry,Dry,
1937,3,0.65,1937-03-01,Dry,Dry,
1937,4,36.15,1937-04-01,Dry,Dry,
1937,5,78.39999999999999,1937-05-01,Wet,Dry,1937_Wet
1937,6,72.8,1937-06-01,Wet,Dry,1937_Wet
1937,7,13.65,1937-07-01,Dry,Dry,
1937,8,57.55,1937-08-01,Wet,Dry,1937_Wet
1937,9,27.25,1937-09-01,Dry,Dry,1937_Dry
1937,10,3.05,1937-10-01,Dry,Dry,1937_Dry
1937,11,4.45,1937-11-01,Dry,Dry,1937_Dry
1937,12,0.9,1937-12-01,Dry,Dry,1937_Dry
1938,1,2.55,1938-01-01,Dry,Dry,1937_Dry
1938,2,3.8499999999999996,1938-02-01,Dry,Dry,1937_Dry
1938,3,20.750000000000004,1938-03-01,Dry,Dry,1937_Dry
1938,4,38.85,1938-04-01,Dry,Dry,1937_Dry
1938,5,14.95,1938-05-01,Dry,Dry,1938_Dry
1938,6,22.6,1938-06-01,Dry,Dry,1938_Dry
1938,7,92.64999999999999,1938-07-01,Wet,Dry,1938_Wet
1938,8,42.5,1938-08-01,Wet,Dry,1938_Wet
1938,9,15.700000000000001,1938-09-01,Dry,Dry,1938_Dry
1938,10,5.1499999999999995,1938-10-01,Dry,Dry,1938_Dry
1938,11,10.4,1938-11-01,Dry,Dry,1938_Dry
1938,12,0.0,1938-12-01,Dry,Dry,1938_Dry
1939,1,23.349999999999998,1939-01-01,Dry,Dry,1938_Dry
1939,2,59.900000000000006,1939-02-01,Wet,Dry,
1939,3,5.6000000000000005,1939-03-01,Dry,Dry,
1939,4,1.65,1939-04-01,Dry,Dry,
1939,5,61.2,1939-05-01,Wet,Dry,1939_Wet
1939,6,130.0,1939-06-01,Wet,Dry,1939_Wet
1939,7,101.6,1939-07-01,Wet,Dry,1939_Wet
1939,8,65.7,1939-08-01,Wet,Dry,1939_Wet
1939,9,4.3,1939-09-01,Dry,Dry,1939_Dry
1939,10,25.95,1939-10-01,Dry,Dry,1939_Dry
1939,11,7.0,1939-11-01,Dry,Dry,1939_Dry
1939,12,0.75,1939-12-01,Dry,Dry,1939_Dry
1940,1,1.85,1940-01-01,Dry,Dry,1939_Dry
1940,2,0.0,1940-02-01,Dry,Dry,
1940,3,0.25,1940-03-01,Dry,Dry,
1940,4,1.9,1940-04-01,Dry,Dry,
1940,5,46.15,1940-05-01,Wet,Dry,1940_Wet
1940,6,77.7,1940-06-01,Wet,Dry,1940_Wet
1940,7,91.7,1940-07-01,Wet,Dry,1940_Wet
1940,8,15.649999999999999,1940-08-01,Dry,Dry,1940_Dry
1940,9,20.5,1940-09-01,Dry,Dry,1940_Dry
1940,10,26.35,1940-10-01,Dry,Dry,1940_Dry
1940,11,3.05,1940-11-01,Dry,Dry,1940_Dry
1940,12,6.750000000000001,1940-12-01,Dry,Dry,1940_Dry
1941,1,0.0,1941-01-01,Dry,Dry,
1941,2,16.4,1941-02-01,Dry,Dry,
1941,3,0.4,1941-03-01,Dry,Dry,
1941,4,70.85,1941-04-01,Wet,Dry,
1941,5,47.85,1941-05-01,Wet,Dry,1941_Wet
1941,6,90.75,1941-06-01,Wet,Dry,1941_Wet
1941,7,63.15,1941-07-01,Wet,Dry,1941_Wet
1941,8,50.0,1941-08-01,Wet,Dry,1941_Wet
1941,9,32.449999999999996,1941-09-01,Dry,Dry,1941_Dry
1941,10,20.95,1941-10-01,Dry,Dry,1941_Dry
1941,11,14.799999999999999,1941-11-01,Dry,Dry,1941_Dry
1941,12,2.75,1941-12-01,Dry,Dry,1941_Dry
1942,1,13.950000000000001,1942-01-01,Dry,Dry,1941_Dry
1942,2,1.3,1942-02-01,Dry,Dry,
1942,3,85.44999999999999,1942-03-01,Wet,Dry,
