cell_ID,slope,slope_Factor
1013,0.010653,0.910458
1014,0.010886,0.908501
1015,0.012389,0.895870
1016,0.004884,0.958947
1017,0.028910,0.757011
1018,0.009945,0.916408
1019,0.002513,0.978877
1020,0.016996,0.857146
1021,0.025564,0.785135
1022,0.012353,0.896174
1023,0.014653,0.876844
1024,0.011828,0.900588
1025,0.011373,0.904410
1026,0.016734,0.859354
1027,0.008099,0.931932
1028,0.005245,0.955916
1029,0.006065,0.949023
1030,0.008509,0.928481
1031,0.014543,0.877770
1032,0.021265,0.821266
1033,0.002345,0.980286
1034,0.023365,0.803620
1035,0.023358,0.803675
1036,0.025497,0.785701
1037,0.013142,0.889541
1038,0.007750,0.934857
1039,0.039861,0.664968
1040,0.032785,0.724442
1041,0.009809,0.917551
1042,0.007192,0.939548
1043,0.025215,0.788071
1044,0.014757,0.875968
1045,0.014330,0.879553
1046,0.006582,0.944677
1047,0.008701,0.926871
1048,0.003002,0.974769
1049,0.006193,0.947946
1050,0.003055,0.974319
1051,0.009665,0.918769
1052,0.000954,0.991983
1053,0.001238,0.989592
1054,0.003671,0.969147
1055,0.001841,0.984524
1056,0.026959,0.773412
1057,0.004443,0.962658
1058,0.001337,0.988763
1059,0.002238,0.981192
1060,0.008300,0.930236
1061,0.022724,0.809004
1062,0.026133,0.780352
1063,0.005105,0.957091
1064,0.002275,0.980876
1065,0.004892,0.958886
1066,0.005518,0.953624
1067,0.004563,0.961651
1068,0.001695,0.985757
1069,0.006027,0.949346
1070,0.005918,0.950263
1071,0.004709,0.960420
1072,0.015032,0.873653
1073,0.005530,0.953518
1074,0.016646,0.860088
1075,0.008245,0.930702
1076,0.005707,0.952033
1077,0.009130,0.923266
1078,0.031114,0.738486
1079,0.002206,0.981456
1080,0.005724,0.951889
1081,0.003200,0.973105
1082,0.011524,0.903138
1083,0.002782,0.976616
1084,0.037293,0.686551
1085,0.009572,0.919545
1086,0.008522,0.928372
1087,0.015853,0.866759
1088,0.027091,0.772298
1089,0.003530,0.970334
1090,0.007756,0.934814
1091,0.043921,0.630840
1092,0.034862,0.706984
1093,0.010660,0.910406
1094,0.028915,0.756968
1095,0.025605,0.784791
1096,0.010011,0.915860
1097,0.025589,0.784925
1098,0.004309,0.963783
1099,0.007812,0.934340
1100,0.007562,0.936439
1101,0.004462,0.962494
1102,0.017817,0.850248
1103,0.004273,0.964089
1104,0.020910,0.824253
1105,0.024240,0.796267
1106,0.022712,0.809104
1107,0.024005,0.798239
1108,0.013793,0.884074
1109,0.018927,0.840916
1110,0.005101,0.957126
1111,0.005114,0.957014
1112,0.011334,0.904736
1113,0.023631,0.801378
1114,0.026296,0.778983
1115,0.007378,0.937987
1116,0.006129,0.948483
1117,0.004686,0.960612
1118,0.009048,0.923952
1119,0.010440,0.912254
1120,0.031204,0.737728
1121,0.030055,0.747391
1122,0.024603,0.793208
1123,0.033027,0.722407
1124,0.007611,0.936028
1125,0.032624,0.725793
1126,0.012919,0.891416
1127,0.011117,0.906561
1128,0.013852,0.883574
1129,0.015248,0.871838
1130,0.032088,0.730303
1131,0.016685,0.859764
1132,0.019047,0.839913
1133,0.028790,0.758020
1134,0.011482,0.903497
1135,0.025078,0.789219
1136,0.005215,0.956168
1137,0.030788,0.741230
1138,0.023317,0.804019
1139,0.014503,0.878104
1140,0.014546,0.877740
1141,0.025047,0.789479
1142,0.018384,0.845481
1143,0.014918,0.874617
1144,0.019534,0.835819
1145,0.018462,0.844827
